time,freqI2,freqI1I3,freqN3,freqHinge
0,20,0,0,0
2.15,20,0,30,0
2.21,20,20,30,0
2.36,20,20,30,20
3.41,0,20,30,20
4.85,0,20,0,20
6.56,0,0,0,20
6.8,0,0,0,0
