time,freqI2,freqI1I3,freqN3,freqHinge
0,20,0,0,0
1,20,0,30,0
2.05,0,0,30,0
2.33,0,20,30,0
2.48,0,20,30,20
3.85,0,20,0,20
6.62,0,20,0,0
