time,freqI2,freqI1I3,freqN3,freqHinge
0,20,0,0,0
1,20,0,30,0
1.51,0,0,30,0
1.8,0,0,30,20
1.95,0,20,30,20
3.9,0,20,0,20
5.8,0,20,0,0
6.3,0,0,0,0
