time,position,radius,angle,hingeF,fitness,freqI2,freqI1I3,freqN3,freqHinge,actI2,actI1I3,acthinge,fitness,seaweedforce
5.724576,-0.005138,0.005000,90.000000,-133.382620,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.596665,0.705338,0.004696,0.000000
5.734584,-0.005139,0.005000,90.000000,-133.688838,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.598309,0.706403,0.004696,0.000000
5.744592,-0.005141,0.005000,90.000000,-133.993213,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.599947,0.707463,0.004696,0.000000
5.754600,-0.005142,0.005000,90.000000,-134.296463,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.601578,0.708518,0.004696,0.000000
5.764608,-0.005143,0.005000,90.000000,-134.597968,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.603202,0.709570,0.004696,0.000000
5.774616,-0.005144,0.005000,90.000000,-134.898111,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.604820,0.710617,0.004696,0.000000
5.784624,-0.005146,0.005000,90.000000,-135.196685,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.606431,0.711661,0.004696,0.000000
5.794632,-0.005147,0.005000,90.000000,-135.493859,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.608035,0.712700,0.004696,0.000000
5.804640,-0.005148,0.005000,90.000000,-135.789525,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.609633,0.713735,0.004696,0.000000
5.814648,-0.005150,0.005000,90.000000,-136.083777,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.611224,0.714766,0.004696,0.000000
5.824656,-0.005151,0.005000,90.000000,-136.376738,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.612809,0.715792,0.004696,0.000000
5.834664,-0.005152,0.005000,90.000000,-136.667932,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.614388,0.716815,0.004696,0.000000
5.844672,-0.005153,0.005000,90.000000,-136.958070,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.615960,0.717834,0.004696,0.000000
5.854680,-0.005155,0.005000,90.000000,-137.246390,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.617525,0.718848,0.004696,0.000000
5.864688,-0.005156,0.005000,90.000000,-137.533728,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.619084,0.719859,0.004696,0.000000
5.874696,-0.005157,0.005000,90.000000,-137.819401,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.620637,0.720866,0.004696,0.000000
5.884704,-0.005158,0.005000,90.000000,-138.103785,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.622184,0.721868,0.004696,0.000000
5.894712,-0.005159,0.005000,90.000000,-138.386699,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.623724,0.722867,0.004696,0.000000
5.904720,-0.005161,0.005000,90.000000,-138.668306,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.625258,0.723861,0.004696,0.000000
5.914728,-0.005162,0.005000,90.000000,-138.948478,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.626785,0.724852,0.004696,0.000000
5.924736,-0.005163,0.005000,90.000000,-139.227354,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.628307,0.725839,0.004696,0.000000
5.934744,-0.005164,0.005000,90.000000,-139.504813,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.629822,0.726822,0.004696,0.000000
5.944752,-0.005165,0.005000,90.000000,-139.780990,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.631331,0.727801,0.004696,0.000000
5.954760,-0.005167,0.005000,90.000000,-140.055866,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.632834,0.728776,0.004696,0.000000
5.964768,-0.005168,0.005000,90.000000,-140.329277,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.634331,0.729747,0.004696,0.000000
5.974776,-0.005169,0.005000,90.000000,-140.601575,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.635821,0.730714,0.004696,0.000000
5.984784,-0.005170,0.005000,90.000000,-140.872274,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.637306,0.731678,0.004696,0.000000
5.994792,-0.005171,0.005000,90.000000,-141.141976,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.638785,0.732637,0.004696,0.000000
6.004800,-0.005172,0.005000,90.000000,-141.410041,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.640257,0.733593,0.004696,0.000000
6.014808,-0.005174,0.005000,90.000000,-141.677162,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.641724,0.734545,0.004696,0.000000
6.024816,-0.005175,0.005000,90.000000,-141.942636,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.643184,0.735494,0.004696,0.000000
6.034824,-0.005176,0.005000,90.000000,-142.207199,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.644639,0.736438,0.004696,0.000000
6.044832,-0.005177,0.005000,90.000000,-142.470117,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.646087,0.737379,0.004696,0.000000
6.054840,-0.005178,0.005000,90.000000,-142.732148,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.647530,0.738316,0.004696,0.000000
6.064848,-0.005179,0.005000,90.000000,-142.992540,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.648967,0.739249,0.004696,0.000000
6.074856,-0.005180,0.005000,90.000000,-143.252063,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.650398,0.740179,0.004696,0.000000
6.084864,-0.005181,0.005000,90.000000,-143.509962,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.651823,0.741105,0.004696,0.000000
6.094872,-0.005182,0.005000,90.000000,-143.767002,0.004696,0.000000,20.000000,0.000000,20.000000,0.000000,0.653243,0.742027,0.004696,0.000000
